case_id,case_name,case_type,expected_top_domain,expected_top_mechanism,acceptable_secondary_mechanisms,forbidden_mechanisms,max_active_mechanisms,max_outputs,expected_confidence,expected_main_status,notes,actual_top_domains,actual_top_mechanisms,actual_active_mechanisms,actual_outputs,actual_confidence,actual_main_status,forbidden_triggered,main_hit_count,main_group_count,main_primary_hits,main_passes,main_unmet_requirements,main_activation,error_type,score_case,review_notes
C01,Normal limpio,baseline,none,none,none_or_1_weak,insulinorresistencia|sindrome_metabolico_patron|estres_oxidativo,1,4,media_or_alta,weak,Caso basal sin patrón dominante.,,,,,,,,,,,,,,,,
C02,Normal incompleto,baseline_incomplete,none,none,1_or_2_weak,insulinorresistencia|dislipidemia_aterogenica|sindrome_metabolico_patron,2,4,baja_or_media,weak,"Datos faltantes, no debe sobreactivarse.",,,,,,,,,,,,,,,,
C03,Señal aislada leve,noise_control,low_signal,none,1_weak,sindrome_metabolico_patron|estres_oxidativo|insulinorresistencia,2,5,media,weak,"Ruido controlado, una señal aislada no debe montar patrón.",,,,,,,,,,,,,,,,
C04,Glucosa aislada,confusing_glucose,glucose_regulation,disfuncion_glucidica,none_or_1_weak,insulinorresistencia|sindrome_metabolico_patron,2,5,media,weak_or_active_low,Glucosa algo alta sola no debe disparar IR fuerte.,,,,,,,,,,,,,,,,
C05,TG altos aislados,confusing_lipids,atherogenic_lipids,dislipidemia_aterogenica,none_or_1_weak,sindrome_metabolico_patron|insulinorresistencia,2,5,media,weak_or_active_low,TG altos solos no deben montar síndrome metabólico completo.,,,,,,,,,,,,,,,,
C06,PCR aislada,confusing_inflammation,inflammatory_tone,inflamacion,estres_oxidativo_weak,estres_oxidativo_active|insulinorresistencia,2,5,media,weak_or_active_low,"PCR aislada puede sugerir inflamación, pero con prudencia.",,,,,,,,,,,,,,,,
C07,Adiposidad aislada,confusing_adiposity,context,none,resistencia_leptinica_saciedad_weak,insulinorresistencia|sindrome_metabolico_patron,2,5,media,weak,Adiposidad aislada no debe sobrediagnosticar IR.,,,,,,,,,,,,,,,,
C08,Insulinorresistencia clara,clear_ir,glucose_regulation,insulinorresistencia,disfuncion_glucidica|dislipidemia_aterogenica,estres_oxidativo_top1|resistencia_leptinica_saciedad_top1,4,10,media_or_alta,active,Caso claro de IR: debe dominar IR o quedar top2 muy sólido.,,,,,,,,,,,,,,,,
C09,Disfunción glucídica clara,clear_glucose,glucose_regulation,disfuncion_glucidica,insulinorresistencia,resistencia_leptinica_saciedad|estres_oxidativo_top1,3,8,media_or_alta,active,"Caso glucocéntrico, no debe depender demasiado del eje lipídico.",,,,,,,,,,,,,,,,
C10,Dislipidemia aterogénica clara,clear_lipids,atherogenic_lipids,dislipidemia_aterogenica,insulinorresistencia_weak_or_secondary,disfuncion_glucidica_top1|sindrome_metabolico_patron_top1,3,8,media_or_alta,active,Caso lipocéntrico con TG/HDL/ApoB.,,,,,,,,,,,,,,,,
C11,Inflamación clara,clear_inflammation,inflammatory_tone,inflamacion,estres_oxidativo_weak_or_secondary,insulinorresistencia|dislipidemia_aterogenica_top1,3,8,media_or_alta,active,"Caso inflamatorio con convergencia real, no arrastre metabólico.",,,,,,,,,,,,,,,,
C12,Patrón metabólico mixto claro,mixed_clear,glucose_regulation_or_atherogenic_lipids,insulinorresistencia_or_dislipidemia_aterogenica,disfuncion_glucidica|sindrome_metabolico_patron,estres_oxidativo_top1,5,12,media_or_alta,active,Caso complejo donde pueden coexistir varios núcleos.,,,,,,,,,,,,,,,,
