Parametro_backend,Parametro_mostrar,Unidad,Tipo_dato,Tipo_umbral,Base_umbral,Valor_min,Valor_max,Usa_sexo_biologico,Usa_ayuno,Edad_min,Edad_max,Sexo,Fuente_intervalo,Año_fuente,Tipo_intervalo,Unidad_normalizada,Categoria_alto,Causas_alto,Categoria_bajo,Causas_bajo,Prioridad_clinica,Dominio_principal,Es_driver,Es_guardrail,Nota,Comentario_aplicabilidad
age_years,Edad,anos,contexto,relative_orientation,motor_operativo,18.0,120.0,False,False,18.0,120.0,ambos,original,2026.0,relative_orientation,anos,No aplica,No aplica,No aplica,No aplica,baja,context,False,False,Variable de contexto demográfico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
albumin_g_dl,Albúmina sérica,g/dL,numerico,reference,referencia_biologica,3.5,5.0,False,False,18.0,120.0,ambos,original,2026.0,reference,g/dL,Albúmina alta,Hemoconcentración; deshidratación,Hipoalbuminemia,Inflamación; hepatopatía; pérdidas renales; malnutrición,alta,kidney,False,True,"Contextualiza síntesis hepática, pérdidas renales y estado inflamatorio/nutricional.",Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
alp_u_l,ALP,U/L,numerico,reference,laboratorio,40.0,130.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,ALP elevada,Colestasis; enfermedad ósea; fractura en reparación; Paget; metástasis óseas; embarazo,ALP baja,Malnutrición; hipofosfatasia; déficit zinc/magnesio; hipotiroidismo,media,liver,False,False,Interpretar con GGT,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
alt_u_l,ALT,U/L,numerico,reference,laboratorio,7.0,41.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,ALT elevada,Hepatitis; hígado graso; fármacos; alcohol; toxicidad hepática; isquemia,ALT muy baja,Sin relevancia clínica habitual,media,liver,True,False,Más específica de lesión hepatocelular,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
apob_mg_dl,Apolipoproteína B (ApoB),mg/dL,numerico,clinical_cutoff,guia_cv,0.0,89.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,Carga aterogénica elevada,Exceso de partículas aterogénicas; dislipidemia aterogénica,,,alta,lipids,True,False,Más útil que LDL aislado cuando hay TG altos o discordancia.,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ast_u_l,AST,U/L,numerico,reference,laboratorio,10.0,40.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,Aumento de AST,Hepatitis; alcohol; hígado graso; lesión muscular; hemólisis; ejercicio intenso; fármacos,AST muy baja,Sin relevancia clínica habitual,baja,liver,False,False,Menos específica que ALT,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
bilirubin_total_mg_dl,Bilirrubina total,mg/dL,numerico,reference,laboratorio,0.2,1.2,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hiperbilirrubinemia,Hemólisis; Gilbert; hepatitis; colestasis; obstrucción biliar,Bilirrubina baja,Sin relevancia clínica habitual,media,liver,False,False,Fraccionar si está elevada,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
bmi_kg_m2,BMI,kg/m2,numerico,reference,guia_clinica,18.5,24.9,False,False,18.0,120.0,ambos,original,2026.0,reference,kg/m2,IMC alto,Sobrepeso; obesidad,IMC bajo,Bajo peso; desnutrición; sarcopenia; enfermedad crónica,media,context,False,False,Indicador poblacional; no mide composición corporal,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
chol_total_mg_dl,Colesterol total,mg/dL,numerico,reference,laboratorio,0.0,199.0,False,True,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hipercolesterolemia,Dieta; hipercolesterolemia familiar; hipotiroidismo; colestasis; síndrome nefrótico,Colesterol bajo,Desnutrición; hipertiroidismo; hepatopatía; neoplasia; inflamación crónica,media,lipids,False,False,Desglosar con LDL y HDL,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
creatinine_mg_dl,Creatinina,mg/dL,numerico,reference,laboratorio,0.7,1.3,True,False,18.0,120.0,f,original,2026.0,reference,mg/dL,Creatinina elevada,Disminución filtrado renal; deshidratación; masa muscular alta; rabdomiólisis; fármacos,Creatinina baja,Baja masa muscular; caquexia; embarazo; hepatopatía avanzada,media,kidney,True,False,Interpretar con eGFR; usar override por sexo biológico,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
