rule_id,variable_key,mechanism_id,role,activation_mode,effect_direction,weight,severity_mode,requires_fasting,sex_scope,context_gate,is_enabled,notes
VM001,glucose_mg_dl,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. Glucosa en ayunas alta sugiere resistencia hepática a la insulina o descontrol glucémico incipiente. Aviso rama alta: Muy alta: refuerza insulinorresistencia/disglucemia y obliga a valorar diabetes franca.
VM002,hba1c_pct,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,0,all,none,1,Fuerza=alta; Especificidad=media. HbA1c alta resume exposición glucémica crónica asociada a insulinorresistencia. Aviso rama alta: Muy alta: aumenta mucho el peso del mecanismo y la prioridad clínica.
VM003,insulin_uIU_ml,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. Insulina alta en ayunas es una señal directa de compensación hiperinsulinémica. Aviso rama alta: Muy alta: señal fuerte de compensación; priorizar contexto de adiposidad central.
VM004,triglycerides_mg_dl,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,1,all,none,1,Fuerza=alta; Especificidad=media. TG altos son un acompañante clásico del patrón insulinorresistente. Aviso rama alta: Muy altos: refuerzan el mecanismo y elevan prioridad metabólica.
VM005,hdl_mg_dl,insulinorresistencia,supporting_driver,low_is_worse,positive,0.60,linear,1,all,none,1,Fuerza=media; Especificidad=media. HDL bajo acompaña con frecuencia la insulinorresistencia. Aviso rama baja: Muy bajo: refuerza el patrón cardiometabólico.
VM006,alt_u_l,insulinorresistencia,contextual_support,high_is_worse,positive,0.25,linear,0,all,none,1,Fuerza=baja; Especificidad=baja. ALT alta puede acompañar hígado graso/metabolismo hepático alterado asociado a insulinorresistencia. Aviso rama alta: Muy alta: priorizar carga hepática además de insulinorresistencia.
VM007,uric_acid_mg_dl,insulinorresistencia,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. La hiperuricemia es frecuente en terreno insulinorresistente. Aviso rama alta: Muy alta: apoya terreno metabólico y posible infraexcreción renal.
VM008,bmi_kg_m2,insulinorresistencia,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. BMI alto apoya el mecanismo pero con menor especificidad que la cintura. Aviso rama alta: Muy alto: apoya insulinorresistencia pero necesita cintura/analítica para ganar especificidad.
VM009,waist_cm,insulinorresistencia,primary_driver,high_is_worse,positive,0.85,threshold,0,all,none,1,Fuerza=alta; Especificidad=media. La adiposidad central es uno de los mejores apoyos contextuales del mecanismo. Aviso rama alta: Muy alta: refuerza fuertemente el mecanismo.
VM010,apob_mg_dl,insulinorresistencia,supporting_driver,high_is_worse,positive,0.50,linear,0,all,none,1,Fuerza=media; Especificidad=baja. ApoB puede elevarse en contextos de sobreproducción hepática asociada a insulinorresistencia. Aviso rama alta: Muy alta: refuerza el componente cardiometabólico asociado.
VM011,glucose_mg_dl,disfuncion_glucidica,primary_driver,low_is_worse,positive,0.90,threshold,1,all,none,1,Rama baja de asociación bidireccional. Fuerza=alta; Especificidad=alta. La glucosa alterada por arriba o por abajo refleja pérdida de homeostasis glucémica. Aviso rama baja: Muy baja: priorizar hipoglucemia y causas específicas.
VM012,glucose_mg_dl,disfuncion_glucidica,primary_driver,high_is_worse,positive,0.95,threshold,1,all,none,1,Rama alta de asociación bidireccional. Fuerza=alta; Especificidad=alta. La glucosa alterada por arriba o por abajo refleja pérdida de homeostasis glucémica. Aviso rama alta: Muy alta: criterio operativo fuerte de disfunción glucídica.
