rule_id,variable,etiqueta_variable,dominio_analito,sexo_referencia,rango_referencia,mecanismo,label_mecanismo,dominio_fisiologico,direccion,peso_mecanistico,tipo_aporte,especificidad,especificidad_num,fuerza,evidence_tier,evidencia_num,combo_fisiologico,es_driver_primario,necesita_ayuno,sexo_scope_regla,requiere_contexto,analitos_confirmatorios,analitos_competidores,comentario_fisiologico,definition,clinical_notes,priority_base,activation_threshold,min_hits,min_groups,display_threshold,rango_critico_bajo,rango_critico_alto,activo
VM131,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,Hematínico / nutricional,low,0.1,context,baja,0.4,baja,baja,0.4,contexto_metabolico,no,no,all,si,"vitb12_pg_ml, folate_ng_ml, mcv_fl",,La albúmina baja en déficit de B12/folato es tardía y refleja desnutrición proteica secundaria o inflamación crónica asociada a la gastritis atrófica. No usar como cribado.,Útil solo en contexto de anemia macrocítica confirmada y desnutrición severa.,No es marcador primario de déficit vitamínico. Priorizar B12 folato y hemograma.,media,55.0,2.0,2.0,24.0,1.5,6.0,si
VM148,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,carga_hepatica,Carga Hepatica,Hepático,low,0.4,support,media,0.7,media,media,0.7,sintesis,no,no,all,si,"alt_u_l, ast_u_l, ggt_u_l",,La hipoalbuminemia en hepatopatía indica cronicidad o gravedad (cirrosis,ascitis). No es un marcador precoz. Una ALT aislada leve con albúmina normal descarta preocupación grave.,Estrés hepatocelular o carga metabólica hepática con afectación de la síntesis. Requiere alteración clara de transaminasas o GGT. Albúmina baja aislada -> buscar causa renal o intestinal.,alta,45.0,2.0,2.0,24.0,1.5,6.0,si
VM140,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.7,driver,media,0.7,alta,alta,1.0,nutricional,si,no,all,si,"creatinine_mg_dl, bmi_kg_m2, urea_mg_dl",PCR_elevada,"Driver de desnutrición proteico-calórica o catabolismo severo. OJO: La albúmina es un reactante negativo de fase aguda. Si la PCR (hsCRP) está alta (>1.0), este peso debe reducirse un 50% porque la caída es inflamatoria, no nutricional.",Sospecha de baja disponibilidad proteica o mayor catabolismo tisular.,Confirmar con antropometría (IMC bajo pérdida de peso) y creatinina baja. Si PCR alta valorar primero la inflamación.,alta,50.0,2.0,2.0,22.0,1.5,6.0,si
VM167,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,deshidratacion_hemoconcentracion,Deshidratacion Hemoconcentracion,Renal / volumen,high,0.3,support,baja,0.4,media,baja,0.4,volumen,no,no,all,si,"hct_pct, urea_mg_dl, hb_g_dl",,Albúmina alta + Hematocrito alto + Urea alta = Paciente seco (deshidratado). Buscar causa de pérdida de volumen (vómitos,diarrea,diuréticos). Patrón compatible con hemoconcentración o contracción de volumen. Exigir al menos 2 de los 3 confirmatorios para asegurar que no es solo error de lab.,media,40.0,2.0,2.0,22.0,1.5,6.0,si
VM194,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,estado_anabolico_bajo,Estado Anabolico Bajo,Hormonal / saciedad,low,0.3,support,baja,0.4,media,baja,0.4,nutricional,no,no,all,si,"creatinine_mg_dl, bmi_kg_m2, hb_g_dl",,Masa muscular escasa o sarcopenia. Si el paciente es anciano,pensar en fragilidad y déficit de vitamina D/proteínas. No se corrige solo comiendo más huevos.,Señal de baja reserva anabólica o masa magra reducida. Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.,alta,50.0,2.0,2.0,22.0,1.5,6.0,si
VM075,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,inflamacion,Inflamacion,Inflamación / estrés biológico,low,0.3,support,baja,0.4,media,baja,0.4,consumo_negativos,no,no,all,si,"hscrp_mg_l, esr_mm_h, fibrinogen_mg_dl",,Reactante negativo de fase aguda. Albúmina baja + PCR alta = Inflamación sistémica (artritis,EII,infección oculta). NO es desnutrición en este contexto. Inflamación sistémica de baja o media intensidad. PCR ultrasensible aislada leve no basta; mejor con VSG/fibrinógeno/células.,alta,40.0,2.0,2.0,25.0,1.5,6.0,si
VM098,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,permeabilidad_intestinal_inflamacion_baja,Permeabilidad Intestinal Inflamacion Baja,Inflamación / estrés biológico,low,0.15,context,baja,0.4,baja,baja,0.4,consumo_negativos,no,no,all,si,"hscrp_mg_l, lymph_abs_x10_3_mm3, ferritin_ng_ml",,Inferencia muy indirecta. Sin calprotectina fecal o zonulina,esto es ruido. Mantener umbral muy alto.,Inferencia muy indirecta de inflamación de bajo grado. [Experimental: Demasiado inferencial para activarlo en runtime.] Muy inespecífico; mantener umbral alto y lenguaje prudente.,baja,75.0,2.0,2.0,26.0,1.5,6.0,no
VM174,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,retencion_hidrosalina,Retencion Hidrosalina,Renal / volumen,low,0.25,support,baja,0.4,media,baja,0.4,volumen,no,no,all,si,"hct_pct, hb_g_dl, creatinine_mg_dl",BNP_proBNP,"Hemodilución. Albúmina baja + Hematocrito bajo + Hb normal-baja. Pensar en ICC, IRC o SIADH. No es déficit de síntesis hepática, es exceso de agua.",Patrón compatible con expansión de volumen/hemodilución.,Muy inferencial sin datos clínicos de edemas. Buscar siempre causa cardiaca o renal.,media,60.0,2.0,2.0,22.0,1.5,6.0,si
VM160,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,seguridad_renal,Seguridad renal,Renal / volumen,low,0.15,context,baja,0.4,baja,baja,0.4,volumen,no,no,all,si,"egfr_ml_min_1_73m2, uacr_mg_g, creatinine_mg_dl",,Albúmina baja + proteinuria (UACR) = Síndrome Nefrótico (pérdida renal de proteínas). Derivación a Nefrología prioritaria.,"Bloque de vigilancia renal, filtrado y daño renal subclínico.",Priorizar creatinina/eGFR/UACR. La albúmina sérica es la consecuencia de la proteinuria.,alta,35.0,2.0,2.0,20.0,1.5,6.0,si
VM152,alp_u_l,ALP,hepatica,sexo_especifico,f: 35.0–104.0 | m: 40.0–129.0,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.9,driver,alta,1.0,alta,alta,1.0,colestasis,si,no,all,si,"ggt_u_l, bilirubin_total_mg_dl, alt_u_l",,"Driver de colestasis. OJO: En niños/adolescentes y embarazadas la ALP es fisiológicamente ALTA (origen óseo/placentario). En >60 años con GGT normal, pensar en Paget óseo.",Componente colestásico/hepatobiliar.,Si GGT es normal la ALP alta NO es de origen hepático. Buscar hueso.,alta,40.0,2.0,2.0,24.0,20.0,441.0,si
