link_id,mechanism_id,output_type,output_key,priority,strength_mode,min_activation,max_activation,condition_context,message_short,message_long,target_variable,target_direction,followup_hint,guardrail_key,is_enabled,notes
MS001,insulinorresistencia,clinical_pattern,insulinorresistencia_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con insulinorresistencia.,El conjunto de señales activas es compatible con insulinorresistencia. Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS002,insulinorresistencia,clinical_message,insulinorresistencia_clinical_message,5,inherit_activation,25,,none,Se observa activación de insulinorresistencia.,La combinación de analitos asociados sugiere activación de insulinorresistencia con relevancia en el dominio metabólico.,glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS003,insulinorresistencia,nutrition_action,insulinorresistencia_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre insulinorresistencia.,Este eje merece un plan dirigido a modular insulinorresistencia y mejorar la trayectoria del marcador diana glucose_mg_dl.,glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS004,insulinorresistencia,projected_target,insulinorresistencia_projected_target,4,inherit_activation,35,,none,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de insulinorresistencia hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS005,insulinorresistencia,followup,insulinorresistencia_followup,4,binary,20,,none,Sugerido control evolutivo de insulinorresistencia.,Tiene sentido reevaluar insulinorresistencia tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,glucose_mg_dl,stability,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS006,insulinorresistencia,guardrail,insulinorresistencia_guardrail,3,binary,20,,none,Conviene contextualizar insulinorresistencia.,"Antes de sobrerinterpretar insulinorresistencia conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",glucose_mg_dl,mixed,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS007,insulinorresistencia,priority_signal,insulinorresistencia_priority_signal,5,capped,40,,none,Alta prioridad para insulinorresistencia.,"Por su peso agregado, insulinorresistencia debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS008,disfuncion_glucidica,clinical_pattern,disfuncion_glucidica_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con disfuncion glucidica.,"El conjunto de señales activas es compatible con disfuncion glucidica. Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.",glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=40
MS009,disfuncion_glucidica,clinical_message,disfuncion_glucidica_clinical_message,5,inherit_activation,25,,none,Se observa activación de disfuncion glucidica.,La combinación de analitos asociados sugiere activación de disfuncion glucidica con relevancia en el dominio metabólico.,glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=40
MS010,disfuncion_glucidica,nutrition_action,disfuncion_glucidica_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre disfuncion glucidica.,Este eje merece un plan dirigido a modular disfuncion glucidica y mejorar la trayectoria del marcador diana glucose_mg_dl.,glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=40
MS011,disfuncion_glucidica,projected_target,disfuncion_glucidica_projected_target,4,inherit_activation,35,,none,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de disfuncion glucidica hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,glucose_mg_dl,up,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=40
MS012,disfuncion_glucidica,followup,disfuncion_glucidica_followup,4,binary,20,,none,Sugerido control evolutivo de disfuncion glucidica.,Tiene sentido reevaluar disfuncion glucidica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,glucose_mg_dl,stability,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=40
MS013,disfuncion_glucidica,guardrail,disfuncion_glucidica_guardrail,3,binary,20,,none,Conviene contextualizar disfuncion glucidica.,"Antes de sobrerinterpretar disfuncion glucidica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",glucose_mg_dl,mixed,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=40
MS014,disfuncion_glucidica,priority_signal,disfuncion_glucidica_priority_signal,5,capped,40,,none,Alta prioridad para disfuncion glucidica.,"Por su peso agregado, disfuncion glucidica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",glucose_mg_dl,down,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=40
MS015,dislipidemia_aterogenica,clinical_pattern,dislipidemia_aterogenica_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con dislipidemia aterogenica.,"El conjunto de señales activas es compatible con dislipidemia aterogenica. Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",triglycerides_mg_dl,up,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS016,dislipidemia_aterogenica,clinical_message,dislipidemia_aterogenica_clinical_message,5,inherit_activation,25,,none,Se observa activación de dislipidemia aterogenica.,La combinación de analitos asociados sugiere activación de dislipidemia aterogenica con relevancia en el dominio metabólico.,triglycerides_mg_dl,up,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS017,dislipidemia_aterogenica,nutrition_action,dislipidemia_aterogenica_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre dislipidemia aterogenica.,Este eje merece un plan dirigido a modular dislipidemia aterogenica y mejorar la trayectoria del marcador diana triglycerides_mg_dl.,triglycerides_mg_dl,down,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS018,dislipidemia_aterogenica,projected_target,dislipidemia_aterogenica_projected_target,4,inherit_activation,35,,none,triglycerides_mg_dl pasa a ser objetivo prioritario.,La activación de dislipidemia aterogenica hace útil vigilar especialmente triglycerides_mg_dl como variable de seguimiento principal.,triglycerides_mg_dl,down,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS019,dislipidemia_aterogenica,followup,dislipidemia_aterogenica_followup,4,binary,20,,none,Sugerido control evolutivo de dislipidemia aterogenica.,Tiene sentido reevaluar dislipidemia aterogenica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,triglycerides_mg_dl,stability,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS020,dislipidemia_aterogenica,guardrail,dislipidemia_aterogenica_guardrail,3,binary,20,,none,Conviene contextualizar dislipidemia aterogenica.,"Antes de sobrerinterpretar dislipidemia aterogenica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",triglycerides_mg_dl,mixed,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS021,dislipidemia_aterogenica,priority_signal,dislipidemia_aterogenica_priority_signal,5,capped,40,,none,Alta prioridad para dislipidemia aterogenica.,"Por su peso agregado, dislipidemia aterogenica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",triglycerides_mg_dl,up,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,usar_ayuno_si_variable,1,alineado a mecanismo / threshold=45
MS022,riesgo_cardiometabolico_global,clinical_pattern,riesgo_cardiometabolico_global_clinical_pattern,5,inherit_activation,20,,none,Predomina un patrón compatible con riesgo cardiometabolico global.,"El conjunto de señales activas es compatible con riesgo cardiometabolico global. Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",apob_mg_dl,up,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a patron_resumen / threshold=65
MS023,riesgo_cardiometabolico_global,clinical_message,riesgo_cardiometabolico_global_clinical_message,5,inherit_activation,25,,none,Se observa activación de riesgo cardiometabolico global.,La combinación de analitos asociados sugiere activación de riesgo cardiometabolico global con relevancia en el dominio metabólico.,apob_mg_dl,up,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a patron_resumen / threshold=65
MS024,riesgo_cardiometabolico_global,nutrition_action,riesgo_cardiometabolico_global_nutrition_action,5,scaled,30,,none,Conviene priorizar intervención sobre riesgo cardiometabolico global.,Este eje merece un plan dirigido a modular riesgo cardiometabolico global y mejorar la trayectoria del marcador diana apob_mg_dl.,apob_mg_dl,down,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a patron_resumen / threshold=65
MS025,riesgo_cardiometabolico_global,projected_target,riesgo_cardiometabolico_global_projected_target,4,inherit_activation,35,,none,apob_mg_dl pasa a ser objetivo prioritario.,La activación de riesgo cardiometabolico global hace útil vigilar especialmente apob_mg_dl como variable de seguimiento principal.,apob_mg_dl,down,Repetir apob_mg_dl y contexto metabólico en 8-12 semanas.,contextualizar_resultado,1,alineado a patron_resumen / threshold=65
