rule_id,variable_key,mechanism_id,role,activation_mode,direction,effect_direction,weight,severity_mode,requires_fasting,sex_scope,context_gate,is_enabled,notes,fuerza,especificidad,combo_group,is_primary,evidence_tier,clinical_rationale
VM131,albumin_g_dl,alteracion_metabolismo_folato_b12_homocisteina,contextual_support,low,low,positive,0.1,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=55 | min_hits=2 | min_groups=2 | display_threshold=24 | confirmatorios=vitb12_pg_ml, folate_ng_ml, mcv_fl | crit_bajo=1.5 | crit_alto=6.0 | La albúmina baja en déficit de B12/folato es tardía y refleja desnutrición proteica secundaria o inflamación crónica asociada a la gastritis atrófica. No usar como cribado. | nota_clinica=No es marcador primario de déficit vitamínico. Priorizar B12 folato y hemograma.",baja,baja,contexto_metabolico,0,baja,Útil solo en contexto de anemia macrocítica confirmada y desnutrición severa. | No es marcador primario de déficit vitamínico. Priorizar B12 folato y hemograma.
VM148,albumin_g_dl,carga_hepatica,supporting_driver,low,low,positive,0.4,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=45 | min_hits=2 | min_groups=2 | display_threshold=24 | confirmatorios=alt_u_l, ast_u_l, ggt_u_l | crit_bajo=1.5 | crit_alto=6.0 | La hipoalbuminemia en hepatopatía indica cronicidad o gravedad (cirrosis | nota_clinica=Estrés hepatocelular o carga metabólica hepática con afectación de la síntesis. Requiere alteración clara de transaminasas o GGT. Albúmina baja aislada -> buscar causa renal o intestinal.",media,media,sintesis,0,media,ascitis). No es un marcador precoz. Una ALT aislada leve con albúmina normal descarta preocupación grave. | Estrés hepatocelular o carga metabólica hepática con afectación de la síntesis. Requiere alteración clara de transaminasas o GGT. Albúmina baja aislada -> buscar causa renal o intestinal.
VM140,albumin_g_dl,deficit_proteico_catabolismo,primary_driver,low,low,positive,0.7,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=50 | min_hits=2 | min_groups=2 | display_threshold=22 | confirmatorios=creatinine_mg_dl, bmi_kg_m2, urea_mg_dl | competidores=PCR_elevada | crit_bajo=1.5 | crit_alto=6.0 | Driver de desnutrición proteico-calórica o catabolismo severo. OJO: La albúmina es un reactante negativo de fase aguda. Si la PCR (hsCRP) está alta (>1.0), este peso debe reducirse un 50% porque la caída es inflamatoria, no nutricional. | nota_clinica=Confirmar con antropometría (IMC bajo pérdida de peso) y creatinina baja. Si PCR alta valorar primero la inflamación.",alta,media,nutricional,1,alta,Sospecha de baja disponibilidad proteica o mayor catabolismo tisular. | Confirmar con antropometría (IMC bajo pérdida de peso) y creatinina baja. Si PCR alta valorar primero la inflamación.
VM167,albumin_g_dl,deshidratacion_hemoconcentracion,supporting_driver,high,high,positive,0.3,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=40 | min_hits=2 | min_groups=2 | display_threshold=22 | confirmatorios=hct_pct, urea_mg_dl, hb_g_dl | crit_bajo=1.5 | crit_alto=6.0 | Albúmina alta + Hematocrito alto + Urea alta = Paciente seco (deshidratado). Buscar causa de pérdida de volumen (vómitos | nota_clinica=diuréticos). Patrón compatible con hemoconcentración o contracción de volumen. Exigir al menos 2 de los 3 confirmatorios para asegurar que no es solo error de lab.",media,baja,volumen,0,baja,diarrea | diuréticos). Patrón compatible con hemoconcentración o contracción de volumen. Exigir al menos 2 de los 3 confirmatorios para asegurar que no es solo error de lab.
VM194,albumin_g_dl,estado_anabolico_bajo,supporting_driver,low,low,positive,0.3,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=50 | min_hits=2 | min_groups=2 | display_threshold=22 | confirmatorios=creatinine_mg_dl, bmi_kg_m2, hb_g_dl | crit_bajo=1.5 | crit_alto=6.0 | Masa muscular escasa o sarcopenia. Si el paciente es anciano | nota_clinica=Señal de baja reserva anabólica o masa magra reducida. Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.",media,baja,nutricional,0,baja,pensar en fragilidad y déficit de vitamina D/proteínas. No se corrige solo comiendo más huevos. | Señal de baja reserva anabólica o masa magra reducida. Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.
VM075,albumin_g_dl,inflamacion,supporting_driver,low,low,positive,0.3,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=40 | min_hits=2 | min_groups=2 | display_threshold=25 | confirmatorios=hscrp_mg_l, esr_mm_h, fibrinogen_mg_dl | crit_bajo=1.5 | crit_alto=6.0 | Reactante negativo de fase aguda. Albúmina baja + PCR alta = Inflamación sistémica (artritis | nota_clinica=infección oculta). NO es desnutrición en este contexto. Inflamación sistémica de baja o media intensidad. PCR ultrasensible aislada leve no basta; mejor con VSG/fibrinógeno/células.",media,baja,consumo_negativos,0,baja,EII | infección oculta). NO es desnutrición en este contexto. Inflamación sistémica de baja o media intensidad. PCR ultrasensible aislada leve no basta; mejor con VSG/fibrinógeno/células.
VM098,albumin_g_dl,permeabilidad_intestinal_inflamacion_baja,contextual_support,low,low,positive,0.15,direct_score,0,all,confirmatory_bundle,0,"[desde_master_v1] | threshold_mecanismo=75 | min_hits=2 | min_groups=2 | display_threshold=26 | confirmatorios=hscrp_mg_l, lymph_abs_x10_3_mm3, ferritin_ng_ml | crit_bajo=1.5 | crit_alto=6.0 | Inferencia muy indirecta. Sin calprotectina fecal o zonulina | nota_clinica=Inferencia muy indirecta de inflamación de bajo grado. [Experimental: Demasiado inferencial para activarlo en runtime.] Muy inespecífico; mantener umbral alto y lenguaje prudente.",baja,baja,consumo_negativos,0,baja,esto es ruido. Mantener umbral muy alto. | Inferencia muy indirecta de inflamación de bajo grado. [Experimental: Demasiado inferencial para activarlo en runtime.] Muy inespecífico; mantener umbral alto y lenguaje prudente.
VM174,albumin_g_dl,retencion_hidrosalina,supporting_driver,low,low,positive,0.25,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=60 | min_hits=2 | min_groups=2 | display_threshold=22 | confirmatorios=hct_pct, hb_g_dl, creatinine_mg_dl | competidores=BNP_proBNP | crit_bajo=1.5 | crit_alto=6.0 | Hemodilución. Albúmina baja + Hematocrito bajo + Hb normal-baja. Pensar en ICC, IRC o SIADH. No es déficit de síntesis hepática, es exceso de agua. | nota_clinica=Muy inferencial sin datos clínicos de edemas. Buscar siempre causa cardiaca o renal.",media,baja,volumen,0,baja,Patrón compatible con expansión de volumen/hemodilución. | Muy inferencial sin datos clínicos de edemas. Buscar siempre causa cardiaca o renal.
VM160,albumin_g_dl,seguridad_renal,contextual_support,low,low,positive,0.15,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=35 | min_hits=2 | min_groups=2 | display_threshold=20 | confirmatorios=egfr_ml_min_1_73m2, uacr_mg_g, creatinine_mg_dl | crit_bajo=1.5 | crit_alto=6.0 | Albúmina baja + proteinuria (UACR) = Síndrome Nefrótico (pérdida renal de proteínas). Derivación a Nefrología prioritaria. | nota_clinica=Priorizar creatinina/eGFR/UACR. La albúmina sérica es la consecuencia de la proteinuria.",baja,baja,volumen,0,baja,"Bloque de vigilancia renal, filtrado y daño renal subclínico. | Priorizar creatinina/eGFR/UACR. La albúmina sérica es la consecuencia de la proteinuria."
VM152,alp_u_l,componente_hepatobiliar,primary_driver,high,high,positive,0.9,direct_score,0,all,confirmatory_bundle,1,"[desde_master_v1] | threshold_mecanismo=40 | min_hits=2 | min_groups=2 | display_threshold=24 | confirmatorios=ggt_u_l, bilirubin_total_mg_dl, alt_u_l | crit_bajo=20.0 | crit_alto=441.0 | Driver de colestasis. OJO: En niños/adolescentes y embarazadas la ALP es fisiológicamente ALTA (origen óseo/placentario). En >60 años con GGT normal, pensar en Paget óseo. | nota_clinica=Si GGT es normal la ALP alta NO es de origen hepático. Buscar hueso.",alta,alta,colestasis,1,alta,Componente colestásico/hepatobiliar. | Si GGT es normal la ALP alta NO es de origen hepático. Buscar hueso.
