rule_id,variable_key,mechanism_id,role,activation_mode,direction,effect_direction,weight,severity_mode,requires_fasting,sex_scope,context_gate,is_enabled,notes,fuerza,especificidad
VM001,glucose_mg_dl,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. Glucosa en ayunas alta sugiere resistencia hepática a la insulina o descontrol glucémico incipiente. Aviso rama alta: Muy alta: refuerza insulinorresistencia/disglucemia y obliga a valorar diabetes franca.,alta,media
VM002,hba1c_pct,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. HbA1c alta resume exposición glucémica crónica asociada a insulinorresistencia. Aviso rama alta: Muy alta: aumenta mucho el peso del mecanismo y la prioridad clínica.,alta,media
VM003,insulin_uIU_ml,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. Insulina alta en ayunas es una señal directa de compensación hiperinsulinémica. Aviso rama alta: Muy alta: señal fuerte de compensación; priorizar contexto de adiposidad central.,alta,media
VM004,triglycerides_mg_dl,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,1,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. TG altos son un acompañante clásico del patrón insulinorresistente. Aviso rama alta: Muy altos: refuerzan el mecanismo y elevan prioridad metabólica.,alta,media
VM005,hdl_mg_dl,insulinorresistencia,supporting_driver,low,positive,positive,0.48,direct_score,1,all,,1,[runtime_alineado] activation_mode=low; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=media. HDL bajo acompaña con frecuencia la insulinorresistencia. Aviso rama baja: Muy bajo: refuerza el patrón cardiometabólico.,media,media
VM006,alt_u_l,insulinorresistencia,contextual_support,high,positive,positive,0.17,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=baja; Especificidad=baja. ALT alta puede acompañar hígado graso/metabolismo hepático alterado asociado a insulinorresistencia. Aviso rama alta: Muy alta: priorizar carga hepática además de insulinorresistencia.,baja,baja
VM007,uric_acid_mg_dl,insulinorresistencia,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. La hiperuricemia es frecuente en terreno insulinorresistente. Aviso rama alta: Muy alta: apoya terreno metabólico y posible infraexcreción renal.,media,baja
VM008,bmi_kg_m2,insulinorresistencia,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. BMI alto apoya el mecanismo pero con menor especificidad que la cintura. Aviso rama alta: Muy alto: apoya insulinorresistencia pero necesita cintura/analítica para ganar especificidad.,media,baja
VM009,waist_cm,insulinorresistencia,primary_driver,high,positive,positive,0.86,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=alta; Especificidad=media. La adiposidad central es uno de los mejores apoyos contextuales del mecanismo. Aviso rama alta: Muy alta: refuerza fuertemente el mecanismo.,alta,media
VM010,apob_mg_dl,insulinorresistencia,supporting_driver,high,positive,positive,0.37,direct_score,0,all,,1,[runtime_alineado] activation_mode=high; severity_mode=direct_score; threshold_mecanismo=45. Fuerza=media; Especificidad=baja. ApoB puede elevarse en contextos de sobreproducción hepática asociada a insulinorresistencia. Aviso rama alta: Muy alta: refuerza el componente cardiometabólico asociado.,media,baja
