Parametro_backend,Parametro_mostrar,Unidad,Tipo_dato,Tipo_umbral,Base_umbral,Valor_min,Valor_max,Critico_bajo,Critico_alto,Usa_sexo_biologico,Usa_ayuno,Edad_min,Edad_max,Sexo,Fuente_intervalo,Año_fuente,Tipo_intervalo,Unidad_normalizada,Categoria_alto,Causas_alto,Categoria_bajo,Causas_bajo,Prioridad_clinica,Dominio_principal,Es_driver,Es_guardrail,Nota,Comentario_aplicabilidad
age_years,Edad,anos,contexto,relative_orientation,motor_operativo,18.0,120.0,,,False,False,18.0,120.0,ambos,original,2026.0,relative_orientation,anos,No aplica,No aplica,No aplica,No aplica,baja,demografico,False,False,Variable de contexto demográfico | Edad IVF ajusta rangos | prioridad_fertilidad: baja,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
albumin_g_dl,Albúmina sérica,g/dL,numerico,reference,referencia_biologica,3.5,5.0,1.5,6.0,False,False,18.0,120.0,ambos,original,2026.0,reference,g/dL,Albúmina alta,"Deshidratacion,Multiple myeloma",Hipoalbuminemia,"Cirrosis,nefrosis,Nephrotic syndrome",alta,hep_renal,False,True,"Contextualiza síntesis hepática, pérdidas renales y estado inflamatorio/nutricional. | ↓ outcomes IVF por inflam cron | prioridad_fertilidad: alta",Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
alp_u_l,ALP,U/L,numerico,reference,laboratorio,35.0,104.0,,441.0,True,False,18.0,120.0,f,original,2026.0,reference,U/L,ALP elevada,"Colestasis,Paget bone",ALP baja,Hipofosfatasia,media,hepatica,False,False,Interpretar con GGT | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
alp_u_l,ALP,U/L,numerico,reference,laboratorio,40.0,129.0,,441.0,True,False,18.0,120.0,m,original,2026.0,reference,U/L,ALP elevada,"Colestasis,Paget bone",ALP baja,Hipofosfatasia,media,hepatica,False,False,Interpretar con GGT | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
alt_u_l,ALT,U/L,numerico,reference,laboratorio,7.0,41.0,,1000.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,ALT elevada,"Hepatitis fulminante,Isquemia hep",ALT muy baja,Raro def enzima,media,hepatica,True,False,Más específica de lesión hepatocelular | Viral? ↑ leve; integra con AST/GGT | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
apob_mg_dl,Apolipoproteína B (ApoB),mg/dL,numerico,clinical_cutoff,guia_cv,0.0,89.0,,200.0,False,False,18.0,120.0,ambos,original,2026.0,clinical_cutoff,mg/dL,Carga aterogénica elevada,Aterosclerosis avanzada,,,alta,lipidos,True,False,Más útil que LDL aislado cuando hay TG altos o discordancia. | Riesgo CV; Lp(a) complementa | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
ast_u_l,AST,U/L,numerico,reference,laboratorio,10.0,40.0,,1000.0,False,False,18.0,120.0,ambos,original,2026.0,reference,U/L,Aumento de AST,"Infarto miocardio,Hemolisis",AST muy baja,Raro,baja,hepatica,False,False,Menos específica que ALT | Relacion ALT/AST >2: alcohol | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
bilirubin_total_mg_dl,Bilirrubina total,mg/dL,numerico,reference,laboratorio,0.2,1.2,,20.0,False,False,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hiperbilirrubinemia,"Obstruccion biliar,Hemolisis masiva",Bilirrubina baja,Sin relevancia clínica habitual,media,hepatica,False,False,Fraccionar si está elevada | Directa vs indirecta clave | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
bmi_kg_m2,BMI,kg/m2,numerico,reference,guia_clinica,18.5,24.9,,,False,False,18.0,120.0,ambos,original,2026.0,reference,kg/m2,IMC alto,Obesidad metabolica,IMC bajo,Malnutricion,media,metabolico,False,False,Indicador poblacional; no mide composición corporal | BMI>30 ↓ receptividad endometrial | prioridad_fertilidad: alta,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
chol_total_mg_dl,Colesterol total,mg/dL,numerico,reference,laboratorio,0.0,199.0,,1000.0,False,True,18.0,120.0,ambos,original,2026.0,reference,mg/dL,Hipercolesterolemia,Hipercolesterolemia familiar,Colesterol bajo,Desnutrición; hipertiroidismo; hepatopatía; neoplasia; inflamación crónica,media,lipidos,False,False,Desglosar con LDL y HDL | HDL/LDL contexto | prioridad_fertilidad: media,Rango original; ajustar por sexo/edad si Usa_sexo_biologico=si
