mechanism_id,label,definition,system,priority_base,activation_threshold,narrative_short,narrative_long,kind,is_enabled,min_hits,requires_primary_driver,min_groups,min_primary_hits,coherence_bonus,display_threshold,clinical_notes
insulinorresistencia,Insulinorresistencia,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Metabólico,alta,45,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia. Umbral operativo=45/100.,mecanismo,1,3,1,2,1,12,28,Exigir señal glucémica/insulínica más al menos un eje adiposidad o dislipidemia para evitar sobrediagnóstico por una variable aislada.
disfuncion_glucidica,Disfuncion Glucidica,"Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.",Metabólico,alta,40,"Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.","Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos. Umbral operativo=40/100.",mecanismo,1,2,1,1,1,8,22,Debe existir alteración de glucosa o HbA1c; la insulina solo modula el contexto.
dislipidemia_aterogenica,Dislipidemia Aterogenica,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",Metabólico,alta,45,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.","Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas. Umbral operativo=45/100.",mecanismo,1,2,1,2,1,10,26,No activar por colesterol total aislado; pedir TG/HDL/ApoB/LDL-patrón coherente.
riesgo_cardiometabolico_global,Riesgo Cardiometabolico Global,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Metabólico,alta,65,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.","Integración de carga lipídica, glucídica, inflamatoria y adiposidad central. Umbral operativo=65/100.",patron_resumen,1,3,1,2,1,10,30,Patrón resumen; requiere convergencia lipídica y metabólica/inflamatoria.
carga_hiperuricemica,Carga Hiperuricemica,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Metabólico,alta,45,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico. Umbral operativo=45/100.,mecanismo,1,2,1,2,1,8,24,Ácido úrico alto debe acompañarse de contexto renal o metabólico.
sindrome_metabolico_patron,Sindrome Metabolico Patron,"Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.",Metabólico,alta,65,"Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.","Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica. Umbral operativo=65/100.",patron_resumen,1,3,1,3,2,12,32,"Patrón resumen; pedir al menos 3 ejes entre glucemia, TG, HDL, cintura."
carga_pancreatica_glucidica,Carga Pancreatica Glucidica,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,Metabólico,alta,45,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica. Umbral operativo=45/100.,mecanismo,1,2,1,2,1,8,24,Pensado para disglucemia con tensión pancreática; insulina baja o alta con glucosa/HbA1c alteradas.
estado_purinico,Estado Purinico,Lectura operativa del eje purinas/ácido úrico/excreción renal. [Usar con umbral alto: Concepto paraguas menos específico que carga hiperuricémica.],Metabólico,alta,55,Lectura operativa del eje purinas/ácido úrico/excreción renal.,Lectura operativa del eje purinas/ácido úrico/excreción renal. Umbral operativo=55/100.,mecanismo,1,1,1,1,1,5,18,"Describe tono úrico/purínico; puede mostrarse con una señal principal, mejor con soporte renal."
inflamacion,Inflamacion,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,Inflamación / estrés biológico,alta,40,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma. Umbral operativo=40/100.,mecanismo,1,2,1,2,1,10,25,PCR ultrasensible aislada leve no basta; mejor con VSG/fibrinógeno/células.
activacion_inmune,Activacion Inmune,Activación inmunitaria o patrón leucocitario reactivo. [Usar con umbral alto: Solapa con inflamación; requiere patrón hematológico consistente.],Inflamación / estrés biológico,media,55,Activación inmunitaria o patrón leucocitario reactivo.,Activación inmunitaria o patrón leucocitario reactivo. Umbral operativo=55/100.,mecanismo,1,2,0,2,0,8,24,Necesita coherencia entre leucocitos/neutrófilos/linfocitos y al menos un reactante.
estres_oxidativo,Estres Oxidativo,Señal indirecta de estrés oxidativo; inferencia de baja especificidad. [Usar con umbral alto: Proxy indirecto; mantener sensible solo si convergen varias anomalías.],Inflamación / estrés biológico,baja,65,Señal indirecta de estrés oxidativo; inferencia de baja especificidad.,Señal indirecta de estrés oxidativo; inferencia de baja especificidad. Umbral operativo=65/100.,mecanismo,1,2,0,2,0,6,20,"Concepto de apoyo, no titular salvo patrón consistente inflamatorio-hepático-metabólico."
