output_key,output_type,display_label,display_group,default_priority,default_target_variable,default_target_direction,ui_block,is_reusable,guardrail_key,short_template,long_template,followup_template,severity_style,is_enabled,notes
insulinorresistencia_clinical_pattern,clinical_pattern,Insulinorresistencia,metabolico,5,glucose_mg_dl,up,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con insulinorresistencia.,El conjunto de señales activas es compatible con insulinorresistencia. Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_clinical_message,clinical_message,Interpretación Insulinorresistencia,metabolico,5,glucose_mg_dl,up,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de insulinorresistencia.,La combinación de analitos asociados sugiere activación de insulinorresistencia con relevancia en el dominio metabólico.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_nutrition_action,nutrition_action,Priorizar abordaje de Insulinorresistencia,metabolico,5,glucose_mg_dl,down,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre insulinorresistencia.,Este eje merece un plan dirigido a modular insulinorresistencia y mejorar la trayectoria del marcador diana glucose_mg_dl.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_projected_target,projected_target,Objetivo analítico en Insulinorresistencia,metabolico,4,glucose_mg_dl,down,targets,0,usar_ayuno_si_variable,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de insulinorresistencia hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_followup,followup,Seguimiento de Insulinorresistencia,metabolico,4,glucose_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de insulinorresistencia.,Tiene sentido reevaluar insulinorresistencia tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_guardrail,guardrail,Contextualizar Insulinorresistencia,metabolico,3,glucose_mg_dl,mixed,guardrails,0,usar_ayuno_si_variable,Conviene contextualizar insulinorresistencia.,"Antes de sobrerinterpretar insulinorresistencia conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para insulinorresistencia (mecanismo)
insulinorresistencia_priority_signal,priority_signal,Prioridad Insulinorresistencia,metabolico,5,glucose_mg_dl,up,priority,0,usar_ayuno_si_variable,Alta prioridad para insulinorresistencia.,"Por su peso agregado, insulinorresistencia debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para insulinorresistencia (mecanismo)
disfuncion_glucidica_clinical_pattern,clinical_pattern,Disfuncion Glucidica,metabolico,5,glucose_mg_dl,down,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con disfuncion glucidica.,"El conjunto de señales activas es compatible con disfuncion glucidica. Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_clinical_message,clinical_message,Interpretación Disfuncion Glucidica,metabolico,5,glucose_mg_dl,down,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de disfuncion glucidica.,La combinación de analitos asociados sugiere activación de disfuncion glucidica con relevancia en el dominio metabólico.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_nutrition_action,nutrition_action,Priorizar abordaje de Disfuncion Glucidica,metabolico,5,glucose_mg_dl,up,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre disfuncion glucidica.,Este eje merece un plan dirigido a modular disfuncion glucidica y mejorar la trayectoria del marcador diana glucose_mg_dl.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_projected_target,projected_target,Objetivo analítico en Disfuncion Glucidica,metabolico,4,glucose_mg_dl,up,targets,0,usar_ayuno_si_variable,glucose_mg_dl pasa a ser objetivo prioritario.,La activación de disfuncion glucidica hace útil vigilar especialmente glucose_mg_dl como variable de seguimiento principal.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_followup,followup,Seguimiento de Disfuncion Glucidica,metabolico,4,glucose_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de disfuncion glucidica.,Tiene sentido reevaluar disfuncion glucidica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_guardrail,guardrail,Contextualizar Disfuncion Glucidica,metabolico,3,glucose_mg_dl,mixed,guardrails,0,usar_ayuno_si_variable,Conviene contextualizar disfuncion glucidica.,"Antes de sobrerinterpretar disfuncion glucidica conviene revisar fase de extracción, contexto clínico, medicación y posibles causas secundarias.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,guardrail,1,generado para disfuncion_glucidica (mecanismo)
disfuncion_glucidica_priority_signal,priority_signal,Prioridad Disfuncion Glucidica,metabolico,5,glucose_mg_dl,down,priority,0,usar_ayuno_si_variable,Alta prioridad para disfuncion glucidica.,"Por su peso agregado, disfuncion glucidica debe subir en la jerarquía del resumen ejecutivo y del plan de acción.",Repetir glucose_mg_dl y contexto metabólico en 8-12 semanas.,priority,1,generado para disfuncion_glucidica (mecanismo)
dislipidemia_aterogenica_clinical_pattern,clinical_pattern,Dislipidemia Aterogenica,metabolico,5,triglycerides_mg_dl,up,executive_summary,0,usar_ayuno_si_variable,Predomina un patrón compatible con dislipidemia aterogenica.,"El conjunto de señales activas es compatible con dislipidemia aterogenica. Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_clinical_message,clinical_message,Interpretación Dislipidemia Aterogenica,metabolico,5,triglycerides_mg_dl,up,clinical_interpretation,0,usar_ayuno_si_variable,Se observa activación de dislipidemia aterogenica.,La combinación de analitos asociados sugiere activación de dislipidemia aterogenica con relevancia en el dominio metabólico.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,warning,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_nutrition_action,nutrition_action,Priorizar abordaje de Dislipidemia Aterogenica,metabolico,5,triglycerides_mg_dl,down,action_plan,0,usar_ayuno_si_variable,Conviene priorizar intervención sobre dislipidemia aterogenica.,Este eje merece un plan dirigido a modular dislipidemia aterogenica y mejorar la trayectoria del marcador diana triglycerides_mg_dl.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,action,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_projected_target,projected_target,Objetivo analítico en Dislipidemia Aterogenica,metabolico,4,triglycerides_mg_dl,down,targets,0,usar_ayuno_si_variable,triglycerides_mg_dl pasa a ser objetivo prioritario.,La activación de dislipidemia aterogenica hace útil vigilar especialmente triglycerides_mg_dl como variable de seguimiento principal.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para dislipidemia_aterogenica (mecanismo)
dislipidemia_aterogenica_followup,followup,Seguimiento de Dislipidemia Aterogenica,metabolico,4,triglycerides_mg_dl,stability,followup,0,usar_ayuno_si_variable,Sugerido control evolutivo de dislipidemia aterogenica.,Tiene sentido reevaluar dislipidemia aterogenica tras un intervalo corto para comprobar dirección del cambio y coherencia clínica.,Repetir triglycerides_mg_dl y contexto metabólico en 8-12 semanas.,info,1,generado para dislipidemia_aterogenica (mecanismo)
