rule_id,variable,etiqueta_variable,dominio_analito,sexo_referencia,rango_referencia,mecanismo,label_mecanismo,dominio_fisiologico,direccion,peso_mecanistico,tipo_aporte,especificidad,especificidad_num,fuerza,evidence_tier,evidencia_num,combo_fisiologico,es_driver_primario,necesita_ayuno,sexo_scope_regla,requiere_contexto,analitos_confirmatorios,analitos_competidores,comentario_fisiologico,definition,clinical_notes,priority_base,activation_threshold,min_hits,min_groups,display_threshold,rango_critico_bajo,rango_critico_alto,activo
VM131,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,Hematínico / nutricional,low,0.15,context,baja,0.4,baja,baja,0.4,contexto_metabolico,no,no,all,,"vitb12_pg_ml, folate_ng_ml, mcv_fl",,Contexto: descenso de albumin_g_dl apoya el grupo contexto_metabolico.,"Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA. [Usar con umbral alto: Más amplio que eje B12/folato, pero incompleto sin homocisteína real.]",Más exigente que eje simple; precisa déficit vitamínico con contexto hematológico o renal.,alta,55,2,2,24,1.5,6,si
VM148,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,carga_hepatica,Carga Hepatica,Hepático,low,0.48,support,media,0.7,media,media,0.7,sintesis,no,no,all,,"alt_u_l, ast_u_l, ggt_u_l",,Driver de soporte: descenso de albumin_g_dl apoya el grupo sintesis.,Estrés hepatocelular o carga metabólica hepática.,ALT aislada leve no basta; pedir AST/GGT o soporte metabólico.,alta,45,2,2,24,1.5,6,si
VM140,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Hematínico / nutricional,low,0.86,driver,media,0.7,alta,alta,1,nutricional,si,no,all,,"creatinine_mg_dl, bmi_kg_m2, urea_mg_dl",,Driver principal: descenso de albumin_g_dl apoya el grupo nutricional.,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Albúmina baja debe acompañarse de masa corporal/urea/creatinina o linfopenia.,alta,50,2,2,22,1.5,6,si
VM167,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,deshidratacion_hemoconcentracion,Deshidratacion Hemoconcentracion,Renal / volumen,high,0.37,support,baja,0.4,media,baja,0.4,volumen,no,no,all,,"hct_pct, urea_mg_dl, hb_g_dl",,Driver de soporte: elevación de albumin_g_dl apoya el grupo volumen.,Patrón compatible con hemoconcentración o contracción de volumen.,Exigir hemoconcentración más urea/creatinina/albumina para evitar ruido.,media,40,2,2,22,1.5,6,si
VM194,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,estado_anabolico_bajo,Estado Anabolico Bajo,Hormonal / saciedad,low,0.37,support,baja,0.4,media,baja,0.4,nutricional,no,no,all,,"creatinine_mg_dl, bmi_kg_m2, hb_g_dl",,Driver de soporte: descenso de albumin_g_dl apoya el grupo nutricional.,Señal de baja reserva anabólica o masa magra reducida.,Útil como patrón de soporte; no afirmar si solo hay IMC bajo leve.,alta,50,2,2,22,1.5,6,si
VM075,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,inflamacion,Inflamacion,Inflamación / estrés biológico,low,0.37,support,baja,0.4,media,baja,0.4,consumo_negativos,no,no,all,,"hscrp_mg_l, esr_mm_h, fibrinogen_mg_dl",,Driver de soporte: descenso de albumin_g_dl apoya el grupo consumo_negativos.,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,PCR ultrasensible aislada leve no basta; mejor con VSG/fibrinógeno/células.,alta,40,2,2,25,1.5,6,si
VM098,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,permeabilidad_intestinal_inflamacion_baja,Permeabilidad Intestinal Inflamacion Baja,Inflamación / estrés biológico,low,0.15,context,baja,0.4,baja,baja,0.4,consumo_negativos,no,no,all,,"hscrp_mg_l, lymph_abs_x10_3_mm3, lymph_abs_x10_3_mm3",,Contexto: descenso de albumin_g_dl apoya el grupo consumo_negativos.,"Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela. [Experimental desactivado: Sin marcadores directos (calprotectina, zonulina u otros). Demasiado inferencial para activarlo en runtime.]",Muy inespecífico; mantener umbral alto y lenguaje prudente.,baja,75,2,2,26,1.5,6,no
VM174,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,retencion_hidrosalina,Retencion Hidrosalina,Renal / volumen,low,0.33,support,baja,0.4,media,baja,0.4,volumen,no,no,all,,"hct_pct, hb_g_dl, creatinine_mg_dl",,Driver de soporte: descenso de albumin_g_dl apoya el grupo volumen.,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica. [Usar con umbral alto: Sin sodio/BNP/osmolalidad; mantener umbral alto para evitar falsos positivos.],Muy inferencial; mantener prudencia y no titular si no hay contexto clínico.,media,60,2,2,22,1.5,6,si
VM160,albumin_g_dl,Albúmina sérica,hep_renal,ambos,3.5–5.0,seguridad_renal,Seguridad renal,Renal / volumen,low,0.17,context,baja,0.4,baja,baja,0.4,volumen,no,no,all,,"egfr_ml_min_1_73m2, uacr_mg_g, creatinine_mg_dl",,Contexto: descenso de albumin_g_dl apoya el grupo volumen.,"Bloque de vigilancia renal, filtrado y daño renal subclínico.",Estado de seguridad; priorizar creatinina/eGFR/UACR y reforzar con urea.,alta,35,2,2,20,1.5,6,si
VM152,alp_u_l,ALP,hepatica,sexo_especifico,f: 35.0–104.0 | m: 40.0–129.0,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.86,driver,media,0.7,alta,alta,1,colestasis,si,no,all,,"ggt_u_l, bilirubin_total_mg_dl, alt_u_l",,Driver principal: elevación de alp_u_l apoya el grupo colestasis.,Componente colestásico/hepatobiliar.,"GGT/ALP/bilirrubina deben mostrar patrón biliar, no una elevación aislada.",alta,40,2,2,24,,441,si
VM144,alt_u_l,ALT,hepatica,ambos,7.0–41.0,carga_hepatica,Carga Hepatica,Hepático,high,0.86,driver,media,0.7,alta,alta,1,citolisis,si,no,all,,"albumin_g_dl, ast_u_l, ggt_u_l",,Driver principal: elevación de alt_u_l apoya el grupo citolisis.,Estrés hepatocelular o carga metabólica hepática.,ALT aislada leve no basta; pedir AST/GGT o soporte metabólico.,alta,45,2,2,24,,1000,si
VM149,alt_u_l,ALT,hepatica,ambos,7.0–41.0,componente_hepatobiliar,Componente Hepatobiliar,Hepático,high,0.37,support,baja,0.4,media,baja,0.4,citolisis,no,no,all,,"ggt_u_l, alp_u_l, bilirubin_total_mg_dl",,Driver de soporte: elevación de alt_u_l apoya el grupo citolisis.,Componente colestásico/hepatobiliar.,"GGT/ALP/bilirrubina deben mostrar patrón biliar, no una elevación aislada.",alta,40,2,2,24,,1000,si
VM090,alt_u_l,ALT,hepatica,ambos,7.0–41.0,estres_oxidativo,Estres Oxidativo,Inflamación / estrés biológico,high,0.15,context,baja,0.4,baja,baja,0.4,metabolico_oxidativo,no,no,all,,"hscrp_mg_l, ggt_u_l, hba1c_pct",,Contexto: elevación de alt_u_l apoya el grupo metabolico_oxidativo.,Señal indirecta de estrés oxidativo; inferencia de baja especificidad. [Usar con umbral alto: Proxy indirecto; mantener sensible solo si convergen varias anomalías.],"Concepto de apoyo, no titular salvo patrón consistente inflamatorio-hepático-metabólico.",baja,65,2,2,20,,1000,si
VM006,alt_u_l,ALT,hepatica,ambos,7.0–41.0,insulinorresistencia,Insulinorresistencia,Metabólico,high,0.17,context,baja,0.4,baja,baja,0.4,hepatico,no,no,all,,"glucose_mg_dl, hba1c_pct, insulin_uIU_ml",,Contexto: elevación de alt_u_l apoya el grupo hepatico.,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Exigir señal glucémica/insulínica más al menos un eje adiposidad o dislipidemia para evitar sobrediagnóstico por una variable aislada.,alta,45,3,2,28,,1000,si
