mechanism_id,label,definition,system,priority_base,activation_threshold,narrative_short,narrative_long,kind,is_enabled
insulinorresistencia,Insulinorresistencia,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,Metabólico,alta,0.25,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a di,Patrón de hiperinsulinemia compensatoria y exceso adiposo visceral con tendencia a disglucemia y dislipidemia.,risk,1
disfuncion_glucidica,Disfuncion Glucidica,"Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.",Metabólico,alta,0.25,"Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida,","Pérdida de homeostasis glucémica; incluye hiperglucemia sostenida y, en menor medida, extremos bajos.",risk,1
dislipidemia_aterogenica,Dislipidemia Aterogenica,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",Metabólico,alta,0.25,"Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.","Patrón de TG altos, HDL bajo y aumento de partículas aterogénicas.",risk,1
riesgo_cardiometabolico_global,Riesgo Cardiometabolico Global,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",Metabólico,alta,0.35,"Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.","Integración de carga lipídica, glucídica, inflamatoria y adiposidad central.",pattern,1
carga_hiperuricemica,Carga Hiperuricemica,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,Metabólico,alta,0.25,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico,Tendencia a hiperuricemia por sobreproducción o infraexcreción en contexto metabólico.,risk,1
sindrome_metabolico_patron,Sindrome Metabolico Patron,"Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.",Metabólico,alta,0.35,"Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogéni","Agrupación operativa de adiposidad central, glucosa alterada y dislipidemia aterogénica.",pattern,1
carga_pancreatica_glucidica,Carga Pancreatica Glucidica,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,Metabólico,alta,0.25,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación,Sobrecarga de la regulación pancreática de la glucosa; útil para separar compensación hiperinsulinémica.,risk,1
estado_purinico,Estado Purinico,Lectura operativa del eje purinas/ácido úrico/excreción renal.,Metabólico,alta,0.25,Lectura operativa del eje purinas/ácido úrico/excreción renal.,Lectura operativa del eje purinas/ácido úrico/excreción renal.,risk,1
inflamacion,Inflamacion,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,Inflamación / estrés biológico,alta,0.25,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma,Inflamación sistémica de baja o media intensidad detectada con reactantes y hemograma.,risk,1
activacion_inmune,Activacion Inmune,Activación inmunitaria o patrón leucocitario reactivo.,Inflamación / estrés biológico,alta,0.25,Activación inmunitaria o patrón leucocitario reactivo.,Activación inmunitaria o patrón leucocitario reactivo.,risk,1
estres_oxidativo,Estres Oxidativo,Señal indirecta de estrés oxidativo; inferencia de baja especificidad.,Inflamación / estrés biológico,alta,0.25,Señal indirecta de estrés oxidativo; inferencia de baja especificidad.,Señal indirecta de estrés oxidativo; inferencia de baja especificidad.,risk,1
permeabilidad_intestinal_inflamacion_baja,Permeabilidad Intestinal Inflamacion Baja,Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela.,Inflamación / estrés biológico,alta,0.25,Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usa,Inferencia muy indirecta de inflamación de bajo grado y posible señal intestinal; usar con mucha cautela.,risk,1
deficit_hierro_eritropoyesis,Deficit Hierro Eritropoyesis,Déficit de hierro funcional o absoluto con impacto eritropoyético.,Hematínico / nutricional,alta,0.25,Déficit de hierro funcional o absoluto con impacto eritropoyético.,Déficit de hierro funcional o absoluto con impacto eritropoyético.,risk,1
sobrecarga_ferrica,Sobrecarga Ferrica,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Hematínico / nutricional,alta,0.25,Exceso de hierro o señal de ferritina alta con saturación aumentada.,Exceso de hierro o señal de ferritina alta con saturación aumentada.,risk,1
eje_b12_folato,Eje B12 Folato,Déficit del eje vitamínico B12/folato con reflejo hematimétrico.,Hematínico / nutricional,alta,0.25,Déficit del eje vitamínico B12/folato con reflejo hematimétrico.,Déficit del eje vitamínico B12/folato con reflejo hematimétrico.,risk,1
alteracion_metabolismo_folato_b12_homocisteina,Alteracion Metabolismo Folato B12 Homocisteina,Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA.,Hematínico / nutricional,alta,0.25,Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA.,Versión ampliada del eje B12/folato; incompleta sin homocisteína ni MMA.,risk,1
deficit_proteico_catabolismo,Deficit Proteico Catabolismo,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Hematínico / nutricional,alta,0.25,Sospecha de baja disponibilidad proteica o mayor catabolismo.,Sospecha de baja disponibilidad proteica o mayor catabolismo.,risk,1
carga_hepatica,Carga Hepatica,Estrés hepatocelular o carga metabólica hepática.,Hepático,alta,0.25,Estrés hepatocelular o carga metabólica hepática.,Estrés hepatocelular o carga metabólica hepática.,risk,1
componente_hepatobiliar,Componente Hepatobiliar,Componente colestásico/hepatobiliar.,Hepático,media,0.25,Componente colestásico/hepatobiliar.,Componente colestásico/hepatobiliar.,risk,1
seguridad_renal,Seguridad renal,"Bloque de vigilancia renal, filtrado y daño renal subclínico.",Renal / volumen,alta,0.20,"Bloque de vigilancia renal, filtrado y daño renal subclínico.","Bloque de vigilancia renal, filtrado y daño renal subclínico.",safety,1
deshidratacion_hemoconcentracion,Deshidratacion Hemoconcentracion,Patrón compatible con hemoconcentración o contracción de volumen.,Renal / volumen,alta,0.20,Patrón compatible con hemoconcentración o contracción de volumen.,Patrón compatible con hemoconcentración o contracción de volumen.,safety,1
retencion_hidrosalina,Retencion Hidrosalina,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica.,Renal / volumen,alta,0.20,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica.,Patrón compatible con expansión de volumen/hemodilución o pérdida de oncótica.,safety,1
